description,sentiment,PClass,PConfidence,SClass,SConfidence
"Aft lift inoperative open , doesn't lock doesn't go up During the cruise the lift at the aft was used to  bring one cart to economy, As soon as the cart came down it was opened and changed with dirty cart to be sent in business class Lift got jammed with error message PUSH STOP  2X RESET    NO TLC DATA  FAULT",negative,Security,Please manually Review,Security Search,66%
"Aggressive behaviour and physical abuse   After the bar service ,when doing clearance Mrs almarzooqi asked Cc Nathanun s438546 for a glass of water Cc Nathanun apologized for not having water with her and promised her to bring a glass of water ASAP Cc called Cc Paulo s450516 to get her glass of water Cc Paulo waited for the clearance cart to move away to serve the water and when passed the water to the customer he claimed that she shouted loudly at him and told him '' I want the other girl to give the water not you, she never come back to me'' and took the water Cc Nathanun came back with the meal cart and tried to explain that she asked her colleague to serve her the water since she was busy with clearance, Mrs al Marzooqi stood up push the IFE screen onto the crew and pushed her with her with one hand CC Stefania s444355 was witness and claimed that customer said '' I asked you to bring me the water why you send somebody else awhat you think of yourself!! Both crew stated that Mrs al Marzooqi was shouting very loud that other customers were disturbed from her behaviour and started shouting at her During we care Cc Paulo offered the drinks to first row but she refused ,as soon as Paulo passed to the next rows she started pressing the call bell repetitively When I approached customer she claimed she was ignored and never offered a drink, however all her family has 2drinks each Customer used abusive words  in Arabic ''Khara(shit), Hayawan(Animal)''",negative,Security,98%,Suspicious Behaviour,69%
"During this flight, we experienced problems with the Wi Fi (it was connecting only for a short time then dropping out) Some customers could connect for a short time and others could not connect at all A flight deck reset was carried out, but the proble",negative,Security,Please manually Review,Security Search,70%
"Communication shortfall between the Grooming Officer and the Purser in the Departure area in Headquarters   After all the crew had arrived in the briefing room, I noticed on the TV screen that one cabin crew member FG1 Brittany Richmond staff number 410545 had signed in however was not in the briefing room During the time I waited for Brittany, not knowing where she was, my Cabin supervisors and myself finished to do the following: Documents checks Safe Talk Flight instructions (as per my request)When all of the above had been done, Brittany had still not yet arrived, thus rather than conveying my goal and expectations (main briefing before Team Talk in groups), without Brittany been present, I went to the Briefing Desk to see if she was around and noticed three people in the Grooming Office I met with the Grooming Officer and asked if Brittany was present which she answered that she was as she had been selected to have a Grooming check The Grooming Officer stated that Brittany was wearing nail polish which was too clear and as a result she requested Brittany to paint her nails over with red colour, as a result this took some time thus it was the reason Brittany was not at the Briefing room yet",neutral,Cabin Crew,Please manually Review,Complaints,76%
"MOD                          Could not down load the flight details  The device did not sync, neither with the Net gear nor with the KiS tablet",negative,Product Development,Please manually Review,Ground to Pur Msgs,76%
Flight never closed hence MODs and KIS weren't synced,negative,Product Development,Please manually Review,Ground to Pur Msgs,77%
"I have been advised by Standards and Procedures Specialist 'Ines' to refer to you in regards to the procedure of writing a KIS report when carrying Valuable Cargo   The mentioned manual states that a KIS should be raised, however there is no section or",positive,Security,92%,Precious Cargo,77%
"Update skywards number on profile:  During the flight, Mr Almazrouei notified me that he did not have time to insert his skywards number into his profile therefore unable to log into complimentary Wi Fi for the duration of the flight Mr, Almazrouei showed me on his phone his skywards membership number and details  On my KIS tablet it stated that Mr Almazrouei was not a skywards member  Mr Almazrouei would like the skywards team to insert skywards frequent flyer number 107503690 onto his profile as he will not be able to do so while on holiday in NZ",neutral,Emirates Skywards,79%,Product Feedback,78%
VR RAISED IN ERROR,negative,Security,Please manually Review,General,80%
IFE rows 41 59 HJK stopped working approx one hour after takeoff,neutral,Airport,Please manually Review,Outstation,80%
OM E inside Ships Library not updated with latest revision 10,negative,Safety,Please manually Review,Ground Operations,81%
the aviation Security and A376 sections were missing from the OM E,negative,Safety,Please manually Review,Ground Operations,81%
cabin Crew worked in J cabin position was MR4A as There one J Crew shortage,neutral,Cabin Crew,77%,VCM,81%
All customers in Business class were very unhappy with the aircraft fitted with old IFE systemThe system doesn't feature touch screen and it was difficult for customers to browse aroundSometimes the movies were playing half way and got cut off,negative,Product Development,Please manually Review,PA issues,81%
In RUH I was in formed by customise  officer that we do not need to write the bar seals only the duty free seals number duty free operator had not written down the duty free seal numbers,neutral,Security,Please manually Review,Airport,84%
OOLONG TEA WAS NOT LOADED BUT SHOWS IN MOD DEVICE Oolong was not loaded by the catering but it shows in the MOD device,neutral,Product Development,Please manually Review,YC SSQ Errors,85%
WIFI Purchases   Customer was very unhappy the WiFi did not work for him after paying for it on 2 devices for 999 each ',negative,Product Development,Please manually Review,Business Class,85%
LEFT ITEM ON BOARD Crew found one black backpack and three umbrellas in 26A hat rack during arrival check,neutral,Security,Please manually Review,Security Search,86%
SURVEY FORMS EXEZE    Survey Forms received EXDXB: 30 (25 EN  05 AR) Survey Forms returned to COC: 30 (07 completed  23 incomplete),neutral,Security,Please manually Review,Security Search,86%
TIME CONSTRAINTS  Due to short flight time and stoppages for turbulence service in YC took up the entire flight time  To ensure service completion to standards all available crew from other cabins went to assist  This meant that forms were not given out until the final minutes of the flight  Most came back uncompleted,neutral,Product Development,Please manually Review,Ground to Pur Msgs,86%
"LANDING PERMIT & BAGGAGE DECLARATION FORMS FOR INDIA      I have written about this in the past, and I have recently seen the changes to the layout of the SIM and thought I would write again  There is no information in either the SIM or Flight Instructions on how to exactly handle the paperwork for select destinations to India  On today's flight to HYD, we have flight deck crew laying over and the cabin crew returning to Dubai  The Purser folder contained two sets of forms, the Crew Baggage Declaration and the Crew Landing Permit  Not until a regular flyer to India, pointed out that the Landing Permit form is only for layover flight SO I had already had the crew start writing on the forms And I found out about this information only after completing the forms with everyone's name on it",positive,Security,Please manually Review,General,86%
"Re : Airport ncident  Crew transport arrived at JFK airport and was park along side to another car  While the driver was off loading our suit cases and as crew walking into the airport, the driver shouted and claimed that we scratched his car  After checking, no crew actually scratch his car, crew may have bump into his car accidently with the suit case",negative,Security,Please manually Review,General,87%
GFML requested  Please provide GFML for all onward travel,neutral,Emirates Skywards,Please manually Review,Product Feedback,88%
CUSTOMER EXPERIENCE   FIRST CLASS  We had six customers in First class on this sector,neutral,Cabin Crew,Please manually Review,Compliments,88%
"Customer very angry about being asked to move his daughter for take off and landing  Customer's daughter, 12 years old, was given a seat on 37B, which is an emergency exit seat Customer was traveling with his wife and daughter Customer contact number:0542305304",neutral,Safety,Please manually Review,Crew Procedures,89%
On this flight found NO BRAILLE inside the ships library therefore we were not able to show it to our visually impaired customer,negative,Security,Please manually Review,General,90%
The printer is broken  Needs a replacement,negative,Cabin Crew,Please manually Review,Compliments,90%
Mr Parla enjoyed a Vegetarian meal and drunk water     After the main service Mr Parla came to the aft galley and was sad and said  I miss my parents,negative,Cabin Crew,Please manually Review,Compliments,90%
wake up call too early   wake up call at the hotel was9:45 for 10:45 we passed the security at 1200 midday ands waited 45 minutes at the airport to be called to the bus,negative,Security,Please manually Review,Hotel Security,90%
Please note that the email address for this skywards member has been changed to:Kayjosephtrade@gmailcom,neutral,Emirates Skywards,Please manually Review,Transactions,91%
Crew are no longer required to complete the Crew Declaration Forms Station staff informed me they have already made crew aware of this,neutral,Security,Please manually Review,General,91%
"SKYWARDS ENROLMENT: many or most of the crew are not aware that on the log in page of the on air WiFi , a customer can enrol for skywards by clicking on  join and earn miles and WiFi benefits",positive,Emirates Skywards,Please manually Review,Product Feedback,92%
"Subject: Unable to completed the coffee and tea service in economy class  Flight configuration 304 in economy class with 304 customers on board  Crew members started the coffee and tea services approximately five minutes prior top of descent  Due to time restriction and flight begin descent, crew members required for conducting the clearance and preparing for landing  Approximately half of the cabin was unable to provide coffee and tea",neutral,Product Development,Please manually Review,YC SSQ Errors,92%
"Due to ac being inop and insufficient cooling in CRC, crew were advised to use jc seats for rest",neutral,Safety,Please manually Review,Passenger Behaviour,92%
SLOW WIFI CONNECTIONMr Ouazzanichahdi claimed his wifi connection to be slow,negative,Product Development,Please manually Review,Business Class,93%
"Constant ringinglighting of call bells   During the service, all bells were automatically ringinglighting up constantly in the right side of the cabin Answered and resets all the call bells  customer seated near ULR2  were disturbed by the constant chimes",neutral,Cabin Crew,Please manually Review,Compliments,93%
Customer used his credit card to pay for the wifi onboard and paid twice for the 1599 package  Customer could not use it even once as his phone kept directing him to the first login page eventhough he paid twice  Customer was upset and asked for reim,negative,Emirates Skywards,Please manually Review,Transactions,93%
"Not rested well prior to the flight     Crew member Song appeared to be extremely tired during the flight  She was having difficulties staying awake during the flight, specially during critical phases (taxiing,take off, landing) The biggest challenges were landing and taking off from Outstation   There was very heavy fog in the outstation, and we had an extremely detailed briefing from the captain out of Dubai  The briefing highlighted the weather conditions in Delhi and the precautionsmeasures that were being taken with that regard  We faced long hold periods and extended taxiing times  Upon landing in Delhi, after having a conversation with the crew member, it became apparent that she was not aware of the conditions stated by the captain   Song showed little or no interest at all, in any offer of support from me or her other colleagues  Cabin Supervisor Elena Vasile (411873) who was operating as a GR2 on this particular flight, had joined me in the attempts to keep crew member Song alert  Due to the fog there was a possibility of a long waiting period on ground in Delhi ,which ultimately ended up not happening and we needed to turn around straight away after preparing the aircraft",negative,Security,Please manually Review,General,94%
Chocks on 0644LTCrew bus arrived at stand 0731LT (47 minutes later),neutral,Airport,Please manually Review,Dubai,94%
FLAT TYRE  5 minutes before reaching the airport we had a flat tyre  We organized taxi on the spot as we were lucky that so many were passing by  We ensured that crew were pairing with another who had euros  Crew took a receipt for the ride which was 5 to 7 euros  We all managed to make it to the airport in a timely manner,positive,Cabin Crew,Please manually Review,Compliments,95%
the chime of the interphone on A376 is very low  sometimes we need to call the same station more then one time for Crew to answer,neutral,Cabin Crew,Please manually Review,Complaints,95%
Customer disappointed the passenger Entertainment system being old  Mr english explained always having old Entertainment system,neutral,Security,91%,General,95%
30 survey forms distributed to customers  14 forms were filled by customers and 16 returned unfilled,neutral,Cabin Crew,Please manually Review,Compliments,95%
500 MB internet paid for and did not work during the flight Every time page was refreshed the customer was redirected to the sign in page I also checked several occasions during the flight yielding the same results,negative,Safety,Please manually Review,Passenger Behaviour,95%
"MOD NOT USED  The MOD was not used for this flight due to a Purser and FG1 called out to operate as G1s Accordingly, they did not have devices or knowledge of MOD operation",neutral,Product Development,Please manually Review,Ground to Pur Msgs,95%
On board camera stopped working during the flight,negative,Cabin Crew,Please manually Review,Compliments,96%
"Mr Almansoori   No skywards membership nr registered    During cruise, Mr Almansoori complained not being able to log in with his skywards membership number, despite being a Silver member The message displayed was:   You are not registered for this flight",negative,Emirates Skywards,Please manually Review,Product Feedback,96%
"LAVATORY MALFUNCTION RHS OF AIRCRAFT  Shortly after take off a customer exited the Lavatory and informed me that it was not flushing, This was LAV D in J Class  Purser was informed  CSV in Y Class then informed the Purser that the 4 LAV's in Y Class were not working  Message sent to Engineering  Reply sent and crew informed of how to attempt to reset the system  Instructions followed however only 1 Toilet Toilet P was able to function  Toilets S, H, G, D all on the RHS of the aircraft did not function for the entire flight",neutral,Safety,Please manually Review,Passenger Behaviour,96%
Please order RVML meal for Customer,neutral,Cabin Crew,Please manually Review,Compliments,96%
Customer refused to allow the customer seated in 78A to recline her seat and pushed it forward every time she was trying to recline it,neutral,Security,Please manually Review,General,97%
Blankets placed on ALL seats before boarding     When we boarded the aircraft most of the seats had unused blankets already placed on them  We were already delayed so I assessed the situation and to avoid further delays having the crew collect the unused blankets I made the decision with the Purser to place blankets on all seats before customers boarded the aircraft instead of doing them on request,neutral,Security,Please manually Review,General,97%
DBML INSUFFICIENT QUANTITY  MrsUlku during meal appreciation rotation stated that she found the quantity of meal insufficient,negative,Security,Please manually Review,Security Search,98%
CUSTOMER TOLD TO TAKE HIS SEAT  Mr Ayub was told to take his seat by crew member Antonio Al Cantara 451911   Mr Ayub was not happy the way he was told to take his seat Antonio was assertive and told the customer that it was for his own safety as the seatbelt sign had been switch on   Customer then followed the crew member refusing to take his seat telling the crew member that the way he had been spoken to is totally unacceptable  CSV spoke to the customer explaining that it was for his own safety and that crew member was doing this for his own benefit and safety,negative,Safety,Please manually Review,Passenger Behaviour,98%
AFT Economy galleyone of the oven insert loaded with 3 tray of oven insert missing,negative,Product Development,Please manually Review,Ground to Pur Msgs,98%
Soft block seat was not blocked by EKASLight load gold member was allocated on 88K asked to be moved forward,neutral,Airport,Please manually Review,Dubai,98%
Airport Lounge Operators should know how to assess a drunk customer according to Mr Mustafa the reason why some customers board the aircraft intoxicated is because they have had too much to drink in the lounge he claimed that he has seen his fellow customers who were seated in 11E and 11F getting drunk and behaving inappropriately from the lounge he suggested that if the airport lounge operators could monitor the amount of alcohol they were serving in the lounge we could somehow avoid intoxicated customers,negative,Security,98%,General,98%
"During service customer appeared to requested and expected to be served immediately For example drink orders, meal requests She appeared dictative and demanding and attracted the attention of all customers in the area whenever asking for somethingIt as observed while she was waiting to use the toilet, a customer(7F) came out of the toilet and Mrs Johnson shouted she was in there for too long",neutral,Security,84%,General,98%
"On todays flight as other flights with only 2 fg1 crew   the rest strategy highlight that one crew is on 1st break , 2nd crew and purser are on 2nd break  my concern is that if I apply this strategy 1 fg1 will be operating by himher self  it is goin",negative,Cabin Crew,Please manually Review,VCM,98%
i open and counted infront of csv ishak boussaid stuff num:409330i found one item missing item num :1524drawer num :9df num :068item name :aviator world time watch,neutral,Duty Free,Please manually Review,Duty Free Items,98%
"Sexual Harrassment       At around 1320H GMT, CSV Uros Zukanovic ( s407803 ) informed me that a young lady seated in 84K, Miss Shae Dewse, complained about being 'molested' by a man seated next to her, Mr Mamdouh Abdulkarim Al Sabhan ( 84J )  CSV Uros said that he tried to address the man and to move Miss Dewse to another seat but Mr Al Sabhan would not wake up  CSV Uros added that there were two customers who witnessed the incidentMr Jack Jenner ( 84H )Miss Taline Collier ( 83G )  When I arrived at the scene, I tapped Mr Al Sabhan on his left shoulder and with a louder voice, tried to wake him up  Upon waking up, I promptly moved Miss Dewse out from her seat to safety, away from the scene  I then introduced myself and asked Mr Al Sabhan whether he consumed alcohol or took any kind of medication He replied, 'No'  Then I assertively informed him that the young lady seated next to him claimed that he touched her inappropriately  Mr Alsabhan did not respond  I repeated my statement twice since he did not reply and I added that the lady claimed that he grabbed her wrist and touched her bottom which he denied  Mr Alsabhan said, he was sleeping and unaware of what he was doing  Miss Dewse cried and told him that he touched her  Mr Alsabhan apologized to me and Miss Dewse   I moved Miss Dewse seat to 71K and reassured her that she is safe in the aircraft and we are going to keep an eye on her  She slept after eating throughout the flight",neutral,Security,99%,General,99%
"Upon disembarkation, customer MrAkhilesh 21C asked to speak to me at L2 doorHe informed me that he wanted to express his gratitude to Mira He stated that he was impressed with how she interacted with all customers around him, the kindness and warmth shown with a smile on her face He also said that she was the best cabin crew he had seen in a long time",neutral,Cabin Crew,Please manually Review,Compliments,99%
Security Searches conducted by a position crew member   We were short of 1 crew member in the briefing room The Crew departure Desk advised me that a crew member will be pulled out and will be sent to the aircraft This pulled out crew member was assigned R3 position,neutral,Security,91%,Security Search,99%
MISSING ITEMS:2015 Drawer 21881 Drawer 22027 Drawer 5,negative,Duty Free,Please manually Review,Duty Free Items,99%
"Customer behaviour: refusal to complyaggressive  Customer interferes with crew workflow by coming in the galley during the service challenging the crew and willing to argue at the point to state: I will not go back to my seat until I see my meal being prepared, disrupting service flow  Customer refuses to comply with crew instructions in regards to severe turbulence  Customer behaviour towards the crew is disrespectful, rude and threatening, raising her voice occasionally when crew insists for her to comply with instructions  Customer stated, referring to me: You will hear form my lawyer if you continue telling me what to do, you are no one to tell me what to do when I was insisting for her to be seated during severe turbulence",negative,Security,97%,General,99%
"CIP CUSTOMER                 Mr Kirton was introduced to all JC crew , All facilities were offered, including Duty FreeFriendly and pleasant customer had a good word for all the crewSpoken to by ME, CSV Anne and the rest of the crew",neutral,Cabin Crew,86%,Compliments,99%
AVML REQUEST  Order not showing,negative,Emirates Skywards,Please manually Review,Product Feedback,99%
The demand of tea and coffee was high during while we had only one service for more than 6 hours flight  We could offer teacoffee with biscuits service an hour before top of descent or express breakfast after take off followed by lunch service,neutral,Product Development,Please manually Review,YC SSQ Errors,99%
"When counting the duty free 566, it was realised a missing item in drawer 09 and an item in excess in drawer 08 Item 1782, shown as nil in stock was actually there While the item 1978 shown as 01 in stock was actually not thereMost probably the previous duty free operator has sold the wrong item to passenger",neutral,Duty Free,Please manually Review,Duty Free Items,99%
"Passenger informed crew that she had severe stomach pain and had vomited twice since takeoff  She stated that the pain was 910, 10 being the highest  She has consumed only a mango juice throughout the flight and and not taken any food since the morni",negative,Medical,Please manually Review,Crew,99%
CUSTOMER COMPLAINED OF BLOCKED SINUS  had history of sinus infection prior to flight  taken own Ibuprofen with no effect  MIRF form 340572,negative,Medical,Please manually Review,Crew,99%
Mr Feola is QUANTAS platinum member he gave me Feedback At the end of the flight saying that Emirates is the way better than Qantas when It comes to cabin crew,neutral,Emirates Skywards,Please manually Review,Product Feedback,99%
"Crew rest reduced by half an hour  All crew were given 1 hour and 30 minutes of rest instead of the 2 hours, as per the Crew Rest Strategy The reason being that we were short of 1 FG1, so that we had to upgrade 1 GR1 to First Class, and 1 GR2 to Business Class With a full cabin in all classes, this meant that there was not a full crew complement properly trained in First Class and Business Class services respectively, and Economy Class was 1 crew short The crew did their very best so that the shortage would not impact negatively on the customer experience Moreover, due to turbulence, the crew had to sit down for about 15 minutes on the Captain's advice Therefore, the rest had to be reduced",negative,Cabin Crew,Please manually Review,VCM,99%
Body fever    Mstr Bagchi's mother informed us that he had high body temperature  She said that they had been flying for long time before our flight and maybe her son was exhausted  Mstr Bagchi was not taking any medication  He was taking multivitamin on regular basis but did not have it before our flight  Mstr Bagchi's mother said that he had mild stomach pain and had small portion of food during dinner service and could not continue  Mstr Bagchi vomited once,negative,Medical,80%,Crew,99%
"Tight uniform      It has been observed that Cc Miss Fabricio's uniform is tight  ( including blouse, skirt, tabard, jacket )  Miss Fabricio is wearing a double tight, which the thick lining part under, looks obvious  Miss Fabricio court shoes is scratched, and not polished  Miss Fabricio mentioned few time on the flight, how proud she is, of the shape of her body, related to her nationality",neutral,Cabin Crew,89%,Image,99%
"Miss Abouhalima felt sick on today's flight She felt nauseous and she had some temperature (37,7)",negative,Medical,Please manually Review,Crew,99%
MrsAlkaabi complained  2 hours after take off of heat in the area around her right eye and claimed that she is not able to see,negative,Medical,Please manually Review,Crew,99%
"Excellent customer service  Mr Persico 88B, was traveling in a family of three members, but they were not seated together  When Gr2 Reka (s417433) noticed, she tried to help them seat together She approached few solo customers in the vicinity of the seat, and asked them if they're welling to swap the seats with the family, but all of them declined the offer as they're willing to keep their original seats  Gr2 Reka went through almost the whole cabin, asking one by one  if they're willing to swap, yet no one agreed  Although Gr2 Reka eventually couldn't manage to swap them and customers had to keep the original seats, Mr Persico could see the effort made by Gr2 Reka, and was very appreciating  Gr2 Reka, looked after the family throughout the flight, and ensured their wellbeing  While disembarkation, Mr Persico approached myself and stated the following:  Thank you guys for an amazing flight This lady right here  pointing at Gr2 Reka  really tried to help us from the heart, and people like her are the one who are making Emirates outstanding, and always on top of our travel choices My family and I are very grateful to her",positive,Cabin Crew,88%,Compliments,99%
DUTY FREE TARGET NOT MET:  The duty free target was not met on this flight,neutral,Duty Free,100%,Duty Free Targets,100%
60 survey forms received for this flight,neutral,Cabin Crew,Please manually Review,Compliments,100%
OME inside Ship library  not updated   The above was found not to be updated with the latest revision,negative,Safety,77%,Ground Operations,Please manually Review
Shortage of chicken   There was a shortage of the chicken scallop on to days flight   Around 5 customers did not receive their choice,negative,Cabin Crew,87%,Image,Please manually Review
During lunch service customer approached cabin crew Hardharmveer(444537) and asked him to serve Amarula(alcoholic drink) to her son seated at 31G Note that her son is approximately 10 years old,neutral,Security,92%,Security Search,Please manually Review
My tablet got hung in FCO during the layover  It did not shut down Message said  shutting down for about 12 hours  The Home button on the screen did not work  After landing in DXB all flights info was lost on KIS Application screen  It showed a blank page  When restarted it got hung again Message said restarting and stayed like that for several hours,negative,Cabin Crew,Please manually Review,Compliments,Please manually Review
"MODKIS FLIGHT DATA The flight data did not download completely The inventory could not be published On the KIS it stated, Make sure variance is 0 for all items in all services",neutral,Product Development,Please manually Review,PA issues,Please manually Review
during the flight Mrs Figgis asked the crew for assistance as she couldn't put her seat backwards the seat reclining button was missing,neutral,Cabin Crew,Please manually Review,Payroll adjustments,Please manually Review
"Crew member missing briefing outstation    Crew member Ibrahim s416417 arrived late for briefing outstation  Ibrahim arrived at the gate when the briefing was over and the ground staff had clear us to go on board to start our security search  No duty free time was given, clear instructions to proceed to gate was given to crew members  Ibrahim mentioned he went to look for shoes in duty free as he thought duty free time was given",neutral,Security,Please manually Review,General,Please manually Review
"Cabin baggage offloaded    Customer was upset that her cabin bag was offloaded She said she asked ground staff at the boarding gate to have the bag checked in the cargo, however she was informed that there would be space on board When she boarded there wasn't any space left and bag had to be offloaded There was a Purser note indicating that Customer's IFE was inop on her previous sector",neutral,Security,Please manually Review,General,Please manually Review
we landed   11pm We had to wait 1 h for a wheelchair to come for Mr Leynaud and his family were fine and took it very well,positive,Security,Please manually Review,Airport,Please manually Review
Suite door defective    ie unable to open fully,negative,Security,Please manually Review,Security Search,Please manually Review
"During the Continental breakfast we had moderate turbulence that effected the service and crewCaptain made the PA 'cabin crew take your seats'We had carts, trays and galley items all prepared for deliveryCrew immediately took seatsAs we had customers situated in the lounge we did not have enough seats to accommodate the crew safelyAll crew jump seats had crew situated at them and the lounge seats were taken with crewcustomersThe additional crew had no where to sitAfter placing hot beverage flasks on the floor additional crew had no place to sitDue to this One crew member placed herself on a crews lap at a jump seat as the galley environment with the carts and trays prepared seemed unsafeOne crew happened to be going down the back stairs so she immediately sat on the stairs holding the gate as she was unable to moveWe suspect that a Customer who was in the lounge took a photo of the crew sitting on a lapHe was informed that photos were of crew where not allowed and asked to deleteHe informed us it was not for social mediaHe was advised of the UAE law Customer who we suspect took the photo was Mr Almurr at 23A",neutral,Security,Please manually Review,Confidential Issues,Please manually Review
Crew Rest      CC Sotiria Kaltsouni s418752 was suppose to be resting on the 1st break and she made a mistake and didn't go on the first break  Crew assumed that she is on the 2nd  break  During the second break she didn't have a bunk to sleep in where,negative,Safety,Please manually Review,Crew Procedures,Please manually Review
"Crew bus from EGHQ to AC   After all crew sat  settled in the bus with the driver in the bus, he took 4 min before he started to drive off  He was reciting some prayers  There was a bot of the stop in between due to 380 pushback   Above caused late in crew arriving at the AC and cancel of auto boarding by 5 min",negative,Security,Please manually Review,General,Please manually Review
OME on board is not updates with the latest revision,negative,Safety,Please manually Review,Ground Operations,Please manually Review
OME Missing  OME found missing from the ship's library,negative,Safety,Please manually Review,subcategory,Please manually Review
Received & Handed out 30  Received back 30  Completed 23,neutral,Security,Please manually Review,Precious Cargo,Please manually Review